品牌,型号,价格（元）,cpu型号,ram容量（gb）,rom容量（gb）,有线充电速度（w）,电池容量(mAh),屏幕刷新率(hz),屏幕分辨率(p),重量(g),前置（万像素）,后置（万像素）,屏幕尺寸（英寸）
vivo,vivo Y78（12GB/256GB）,1999,联发科 天玑7020,12,256,44,5000,120,1,190,800,5000,6.64
vivo,vivo S17 Pro（8GB/256GB）,3099,联发科 天玑8200,8,256,80,4600,120,1,188,5000,5000,6.78
vivo,vivo S17 Pro（12GB/256GB）,3299,联发科 天玑8200,12,256,80,4600,120,1,188,5000,5000,6.78
vivo,vivo S17 Pro（12GB/512GB）,3499,联发科 天玑8200,12,512,80,4600,120,1,188,5000,5000,6.78
vivo,vivo X Fold2（12GB/256GB）,8999,高通 骁龙8 Gen2,12,256,120,4800,120,1,279,1600,5000,8.03
vivo,vivo X Fold2（12GB/512GB）,9999,高通 骁龙8 Gen2,12,512,120,4800,120,1,279,1600,5000,8.03
vivo,vivo X Flip（12GB/256GB）,5999,高通 骁龙8+ Gen1,12,256,44,4400,120,1,198,3200,5000,6.74
vivo,vivo X Flip（12GB/512GB）,6699,高通 骁龙8+ Gen1,12,512,44,4400,120,1,198,3200,5000,6.74
vivo,vivo Y78+（8GB/128GB）,1799,高通 骁龙695,8,128,44,5000,120,1,177,800,5000,6.78
vivo,vivo Y78+（8GB/256GB）,2199,高通 骁龙695,8,256,44,5000,120,1,177,800,5000,6.78
vivo,vivo Y78+（12GB/256GB）,2299,高通 骁龙695,12,256,44,5000,120,1,177,800,5000,6.78
vivo,vivo Y78（8GB/128GB）,1399,联发科 天玑7020,8,128,44,5000,120,1,190,800,5000,6.64
vivo,vivo Y78（8GB/256GB）,1699,联发科 天玑7020,8,256,44,5000,120,1,190,800,5000,6.64
vivo,vivo Y78（12GB/256GB）,1999,联发科 天玑7020,12,256,44,5000,120,1,190,800,5000,6.64
vivo,vivo X90s（8GB/256GB）,3999,联发科 天玑9200+,8,256,120,4810,120,1,202.2,3200,5000,6.78
vivo,vivo X90s（12GB/256GB）,4299,联发科 天玑9200+,12,256,120,4810,120,1,202.2,3200,5000,6.78
vivo,vivo X90s（12GB/512GB）,4699,联发科 天玑9200+,12,512,120,4810,120,1,202.2,3200,5000,6.78
vivo,vivo S17e（8GB/128GB）,2099,联发科 天玑7200,8,128,66,4600,120,1,178,1600,6400,6.78
vivo,vivo S17e（8GB/256GB）,2299,联发科 天玑7200,8,256,66,4600,120,1,178,1600,6400,6.78
vivo,vivo S17e（12GB/256GB）,2499,联发科 天玑7200,12,256,66,4600,120,1,178,1600,6400,6.78
vivo,vivo Y35+（6GB/128GB）,1399,联发科 天玑6020,6,128,15,5000,60,1,190,800,5000,6.64
vivo,vivo Y35+（8GB/256GB）,1599,联发科 天玑6020,8,256,15,5000,60,1,190,800,5000,6.64
vivo,vivo Y35+（8GB/128GB）,1799,联发科 天玑6020,8,128,15,5000,66,1,190,800,5000,6.64
vivo,vivo S17t（12GB/512GB）,2999,联发科 天玑8050,12,512,80,4600,120,1,186,5000,5000,6.78
vivo,vivo Y53t（4GB/128GB）,999,联发科 天玑700,4,128,15,5000,60,0.5,186,500,1300,6.51
vivo,vivo Y53t（6GB/128GB）,1099,联发科 天玑700,6,128,15,5000,60,0.5,186,500,1300,6.51
vivo,vivo Y11 4G版（6GB/128GB）,999,暂无数据,6,128,10,5000,60,0.5,186,500,800,6.51
vivo,vivo Y11 4G版（4GB/128GB）,899,暂无数据,4,128,10,5000,60,0.5,186,500,800,6.51
vivo,vivo Y76s t1版（12GB/256GB）,2099,联发科 天玑700,12,256,44,4100,60,1,177,800,5000,6.58
oppo,OPPO Find N3 Flip（12GB/256GB）,6799,联发科 天玑9200,12,256,44,4400,120,1,198,3200,5000,6.8
oppo,OPPO Find N3 Flip （12GB/512GB）,7599,联发科 天玑9200,12,512,44,4400,120,1,198,3200,5000,6.8
oppo,OPPO Find X6 Pro（12GB/256GB）,5999,高通 骁龙8 Gen2,12,256,50,5000,120,2,218,3200,5000,6.82
oppo,OPPO Find X6 Pro（16GB/256GB）,6499,高通 骁龙8 Gen2,16,256,50,5000,120,2,218,3200,5000,6.82
oppo,OPPO Find X6 Pro（16GB/512GB）,6999,高通 骁龙8 Gen2,16,512,50,5000,120,2,218,3200,5000,6.82
oppo,OPPO Find X6（12GB/256GB）,4499,联发科 天玑9200,12,256,80,4800,120,1,207,3200,5000,6.72
oppo,OPPO Find X6（16GB/512GB）,4999,联发科 天玑9200,16,512,80,4800,120,1,207,3200,5000,6.72
oppo,OPPO K11（12GB/512GB）,2499,高通 骁龙782G,12,512,100,5000,120,1,184,1600,5000,6.7
